"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-10",,,"0.00","0.0","0.0","77","43","70",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-11",,,"0.00","0.0","0.0","70","54","56",,"    1",,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-12",,,"1.90","0.0","0.0","56","48","50",,"    1",,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-13",,,"1.36","0.0","0.0","50","42","42",,"    1",,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-14",,,"1.43","0.0","0.0","49","37","46",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-15",,,"0.00","0.0","0.0","67","32","64",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-16",,,"0.00","0.0","0.0","74","43","70",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-17",,,"0.00","0.0","0.0","70","52","57",,"    1",,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-18",,,"0.70","0.0","0.0","66","50","64",,"    1",,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-19",,,"0.12","0.0","0.0","76","50","68",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-20",,,"0.00","0.0","0.0","80","48","74",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-21",,,"0.00","0.0","0.0","84","54","79",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-22",,,"0.00","0.0","0.0","87","57","84",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-23",,,"0.00","0.0","0.0","85","59","80",,,,,,
"USC00221738","CLEVELAND, MS US","33.7367","-90.7445","42.1","1980-04-24",,,"0.00","0.0","0.0","82","58","77",,,,,,
